 1,3
 2,4
 3,2
 4,3
 5,4
 6,4
 7,5
 8,3
 9,4
 10,5
 11,5
 12,6
 13,4
 14,5
 15,6
 16,6
 17,7
 18,5
 19,6
 20,7
 21,7
 22,8
 23,6
 24,7
 25,8
 26,4
 27,5
 28,3
 29,4
 30,5
 31,5
 32,6
 33,4
 34,5
 35,6
 36,6
 37,7
 38,5
 39,6
 40,7
 41,7
 42,8
 43,6
 44,7
 45,8
 46,8
 47,9
 48,7
 49,8
 50,9
 51,5
 52,6
 53,4
 54,5
 55,6
 56,6
 57,7
 58,5
 59,6
 60,7
 61,7
 62,8
 63,6
 64,7
 65,8
 66,8
 67,9
 68,7
 69,8
 70,9
 71,9
 72,10
 73,8
 74,9
 75,10
 76,6
 77,7
 78,5
 79,6
 80,7
 81,7
 82,8
 83,6
 84,7
 85,8
 86,8
 87,9
 88,7
 89,8
 90,9
 91,9
 92,10
 93,8
 94,9
 95,10
 96,10
 97,11
 98,9
 99,10
 100,11
 101,7
 102,8
 103,6
 104,7
 105,8
 106,8
 107,9
 108,7
 109,8
 110,9
 111,9
 112,10
 113,8
 114,9
 115,10
 116,10
 117,11
 118,9
 119,10
 120,11
 121,11
 122,12
 123,10
 124,11
 125,12
 126,3
 127,4
 128,2
 129,3
 130,4
 131,4
 132,5
 133,3
 134,4
 135,5
 136,5
 137,6
 138,4
 139,5
 140,6
 141,6
 142,7
 143,5
 144,6
 145,7
 146,7
 147,8
 148,6
 149,7
 150,8
 151,4
 152,5
 153,3
 154,4
 155,5
 156,5
 157,6
 158,4
 159,5
 160,6
 161,6
 162,7
 163,5
 164,6
 165,7
 166,7
 167,8
 168,6
 169,7
 170,8
 171,8
 172,9
 173,7
 174,8
 175,9
 176,5
 177,6
 178,4
 179,5
 180,6
 181,6
 182,7
 183,5
 184,6
 185,7
 186,7
 187,8
 188,6
 189,7
 190,8
 191,8
 192,9
 193,7
 194,8
 195,9
 196,9
 197,10
 198,8
 199,9
 200,10
 201,6
 202,7
 203,5
 204,6
 205,7
 206,7
 207,8
 208,6
 209,7
 210,8
 211,8
 212,9
 213,7
 214,8
 215,9
 216,9
 217,10
 218,8
 219,9
 220,10
 221,10
 222,11
 223,9
 224,10
 225,11
 226,7
 227,8
 228,6
 229,7
 230,8
 231,8
 232,9
 233,7
 234,8
 235,9
 236,9
 237,10
 238,8
 239,9
 240,10
 241,10
 242,11
